0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/Css/Public_color/orange.css HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/season/winter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/Adminpages/img/%E7%AE%A1%E7%90%86%E5%91%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/lead_photo/%E9%80%80%E5%87%BA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/level_photo/%E7%AD%89%E7%BA%A77.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/js/jquery-3.4.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/head_photo/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/theme_photo/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/lead_photo/%E4%B8%BB%E9%A1%B5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/lead_photo/%E6%B6%88%E6%81%AF.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/lead_photo/%E7%A7%AF%E5%88%862.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/lead_photo/%E4%BD%9C%E5%93%81.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:20:06:26 +0800] "GET /PCA/img/lead_photo/%E4%BB%BB%E5%8A%A1.png HTTP/1.1" 304 -
